"mu" "n" "dist" "p_cens" "rep" "id" "decision" "error" "errorMessage"
0.9 80 "LIN" 0 96 1 "LIN" FALSE ""
0.9 40 "LIN" 0 72 2 "LIN" FALSE ""
0.1 60 "EXP" 0.2 87 3 "EXP" FALSE ""
1.3 40 "EXP" 0.2 90 4 "EXP" FALSE ""
1.5 20 "LIN" 0 51 5 "EXP" FALSE ""
2.5 40 "LIN" 0.1 80 6 "EXP" FALSE ""
0.5 40 "LIN" 0 4 7 "LIN" FALSE ""
2 20 "EXP" 0.1 28 8 "LIN" FALSE ""
1.3 40 "EXP" 0.1 92 9 "EXP" FALSE ""
0.5 100 "EXP" 0 27 10 "LIN" FALSE ""
0.9 80 "EXP" 0 55 11 "EXP" FALSE ""
2.5 200 "LIN" 0 7 12 "LIN" FALSE ""
1.5 60 "EXP" 0 44 13 "LIN" FALSE ""
1.3 20 "LIN" 0.2 99 14 "LIN" FALSE ""
0.1 40 "LIN" 0 68 15 "LIN" FALSE ""
2.5 60 "EXP" 0.1 69 16 "LIN" FALSE ""
0.9 80 "EXP" 0.1 57 17 "EXP" FALSE ""
1.5 100 "EXP" 0.1 33 18 "EXP" FALSE ""
1.3 60 "LIN" 0.1 17 19 "LIN" FALSE ""
1.3 80 "LIN" 0 40 20 "EXP" FALSE ""
2 80 "EXP" 0 33 21 "EXP" FALSE ""
1.3 100 "LIN" 0.1 96 22 "LIN" FALSE ""
1.3 60 "EXP" 0 89 23 "EXP" FALSE ""
0.5 60 "EXP" 0.1 32 24 "LIN" FALSE ""
0.9 20 "EXP" 0.1 86 25 "LIN" FALSE ""
1.3 200 "EXP" 0 23 26 "EXP" FALSE ""
2 20 "LIN" 0 45 27 "EXP" FALSE ""
1.5 20 "LIN" 0.2 97 28 "LIN" FALSE ""
2.5 100 "EXP" 0.2 84 29 "LIN" FALSE ""
1.5 60 "LIN" 0 55 30 "LIN" FALSE ""
0.1 100 "EXP" 0 11 31 "EXP" FALSE ""
2 20 "LIN" 0 22 32 "LIN" FALSE ""
0.5 20 "EXP" 0.2 57 33 "LIN" FALSE ""
0.5 100 "LIN" 0 30 34 "LIN" FALSE ""
0.5 100 "EXP" 0.1 88 35 "LIN" FALSE ""
1.3 40 "LIN" 0.1 3 36 "LIN" FALSE ""
1.3 40 "LIN" 0.1 56 37 "LIN" FALSE ""
1.3 60 "EXP" 0.1 51 38 "LIN" FALSE ""
1.3 80 "EXP" 0.2 52 39 "EXP" FALSE ""
0.1 200 "EXP" 0 63 40 "EXP" FALSE ""
0.1 40 "LIN" 0.2 62 41 "LIN" FALSE ""
1.3 20 "LIN" 0 35 42 "LIN" FALSE ""
2.5 100 "EXP" 0 21 43 "LIN" FALSE ""
0.5 200 "LIN" 0.2 18 44 "LIN" FALSE ""
1.3 60 "LIN" 0 51 45 "LIN" FALSE ""
2.5 40 "LIN" 0.1 89 46 "LIN" FALSE ""
0.9 40 "LIN" 0 55 47 "LIN" FALSE ""
2 100 "LIN" 0.2 19 48 "LIN" FALSE ""
1.5 80 "EXP" 0.1 72 49 "EXP" FALSE ""
2 20 "EXP" 0.1 92 50 "EXP" FALSE ""
2 80 "LIN" 0.1 64 51 "LIN" FALSE ""
0.5 20 "EXP" 0.2 68 52 "LIN" FALSE ""
1.3 80 "EXP" 0.1 68 53 "LIN" FALSE ""
1.3 200 "LIN" 0.1 95 54 "LIN" FALSE ""
0.1 40 "EXP" 0.2 17 55 "EXP" FALSE ""
0.5 40 "EXP" 0.2 78 56 "EXP" FALSE ""
0.1 20 "EXP" 0 91 57 "LIN" FALSE ""
2.5 40 "EXP" 0 56 58 "LIN" FALSE ""
2 60 "EXP" 0.1 34 59 "LIN" FALSE ""
2.5 20 "LIN" 0.2 27 60 "LIN" FALSE ""
1.3 200 "LIN" 0.1 72 61 "LIN" FALSE ""
2.5 80 "EXP" 0 95 62 "EXP" FALSE ""
2.5 100 "EXP" 0 18 63 "EXP" FALSE ""
0.9 80 "EXP" 0.1 31 64 "EXP" FALSE ""
2 20 "EXP" 0.2 75 65 "EXP" FALSE ""
1.3 80 "EXP" 0 72 66 "EXP" FALSE ""
2 100 "LIN" 0.1 56 67 "LIN" FALSE ""
1.5 40 "LIN" 0 38 68 "LIN" FALSE ""
0.9 100 "EXP" 0.2 81 69 "EXP" FALSE ""
0.5 100 "LIN" 0.1 73 70 "LIN" FALSE ""
0.1 100 "LIN" 0.2 33 71 "LIN" FALSE ""
0.5 200 "LIN" 0.2 90 72 "LIN" FALSE ""
0.9 200 "LIN" 0.2 85 73 "LIN" FALSE ""
0.1 40 "EXP" 0 13 74 "EXP" FALSE ""
2 20 "LIN" 0 38 75 "EXP" FALSE ""
2.5 200 "EXP" 0.2 69 76 "EXP" FALSE ""
0.9 200 "LIN" 0 48 77 "LIN" FALSE ""
2 20 "EXP" 0.2 42 78 "EXP" FALSE ""
0.1 80 "LIN" 0.1 89 79 "LIN" FALSE ""
0.5 80 "EXP" 0.1 27 80 "EXP" FALSE ""
1.3 20 "EXP" 0.1 4 81 "EXP" FALSE ""
0.9 40 "EXP" 0.2 27 82 "EXP" FALSE ""
0.1 80 "EXP" 0 26 83 "LIN" FALSE ""
1.5 40 "EXP" 0 60 84 "LIN" FALSE ""
1.3 80 "EXP" 0.1 19 85 "EXP" FALSE ""
1.5 100 "EXP" 0.1 49 86 "EXP" FALSE ""
2.5 20 "LIN" 0.1 10 87 "LIN" FALSE ""
2 200 "EXP" 0 67 88 "LIN" FALSE ""
0.9 60 "LIN" 0.2 66 89 "LIN" FALSE ""
2.5 200 "LIN" 0.2 93 90 "LIN" FALSE ""
0.5 20 "LIN" 0.2 34 91 "LIN" FALSE ""
1.3 80 "EXP" 0.1 87 92 "LIN" FALSE ""
2 40 "LIN" 0.1 82 93 "LIN" FALSE ""
1.3 80 "LIN" 0.1 7 94 "LIN" FALSE ""
2.5 40 "LIN" 0.1 42 95 "LIN" FALSE ""
0.9 200 "EXP" 0.2 97 96 "EXP" FALSE ""
0.9 200 "EXP" 0.2 93 97 "EXP" FALSE ""
2.5 40 "EXP" 0 92 98 "LIN" FALSE ""
1.3 200 "EXP" 0.1 26 99 "LIN" FALSE ""
2 100 "LIN" 0 20 100 "LIN" FALSE ""
1.3 200 "LIN" 0 52 101 "LIN" FALSE ""
1.3 40 "EXP" 0.2 22 102 "EXP" FALSE ""
0.9 100 "EXP" 0.1 97 103 "EXP" FALSE ""
0.5 40 "EXP" 0.1 39 104 "EXP" FALSE ""
2.5 20 "LIN" 0.1 83 105 "EXP" FALSE ""
0.5 100 "LIN" 0 79 106 "LIN" FALSE ""
