"mu" "n" "dist" "p_cens" "rep" "id" "decision" "error" "errorMessage"
0.9 20 "LIN" 0.1 49 1 "LIN" FALSE ""
1.5 80 "EXP" 0.2 70 2 "EXP" FALSE ""
1.3 80 "EXP" 0.1 27 3 "EXP" FALSE ""
1.3 80 "EXP" 0 5 4 "EXP" FALSE ""
2 20 "EXP" 0 57 5 "EXP" FALSE ""
0.1 20 "LIN" 0 55 6 "EXP" FALSE ""
0.1 80 "LIN" 0 70 7 "LIN" FALSE ""
0.5 60 "LIN" 0 18 8 "LIN" FALSE ""
2 60 "LIN" 0 98 9 "LIN" FALSE ""
1.5 200 "EXP" 0.2 67 10 "EXP" FALSE ""
2 200 "EXP" 0.2 2 11 "EXP" FALSE ""
0.1 60 "LIN" 0.2 100 12 "LIN" FALSE ""
0.9 80 "EXP" 0 87 13 "EXP" FALSE ""
0.1 100 "LIN" 0.1 12 14 "LIN" FALSE ""
2.5 80 "EXP" 0.1 62 15 "EXP" FALSE ""
0.1 80 "EXP" 0.1 43 16 "EXP" FALSE ""
2.5 100 "LIN" 0.1 85 17 "EXP" FALSE ""
1.5 20 "EXP" 0.2 82 18 "LIN" FALSE ""
0.5 60 "LIN" 0.2 55 19 "LIN" FALSE ""
0.5 60 "EXP" 0.2 20 20 "LIN" FALSE ""
0.9 200 "EXP" 0.2 24 21 "EXP" FALSE ""
2.5 80 "EXP" 0.2 46 22 "LIN" FALSE ""
0.5 80 "EXP" 0.1 48 23 "EXP" FALSE ""
2 20 "LIN" 0 79 24 "LIN" FALSE ""
1.5 100 "EXP" 0 81 25 "LIN" FALSE ""
0.1 40 "EXP" 0 17 26 "EXP" FALSE ""
0.1 20 "EXP" 0 29 27 "LIN" FALSE ""
0.5 20 "LIN" 0.2 17 28 "EXP" FALSE ""
0.1 80 "EXP" 0 69 29 "LIN" FALSE ""
1.5 80 "EXP" 0.2 20 30 "EXP" FALSE ""
2.5 60 "EXP" 0 4 31 "LIN" FALSE ""
1.5 80 "LIN" 0 54 32 "LIN" FALSE ""
0.5 200 "EXP" 0 36 33 "EXP" FALSE ""
1.5 60 "LIN" 0.1 31 34 "EXP" FALSE ""
1.5 40 "EXP" 0.2 68 35 "LIN" FALSE ""
1.5 20 "LIN" 0 84 36 "EXP" FALSE ""
0.5 60 "LIN" 0 94 37 "LIN" FALSE ""
0.5 100 "LIN" 0.1 51 38 "LIN" FALSE ""
1.5 40 "EXP" 0.1 40 39 "LIN" FALSE ""
2.5 40 "LIN" 0 72 40 "LIN" FALSE ""
2 60 "EXP" 0.2 10 41 "LIN" FALSE ""
2.5 20 "LIN" 0 4 42 "LIN" FALSE ""
1.5 200 "LIN" 0 18 43 "EXP" FALSE ""
0.5 80 "LIN" 0.2 20 44 "EXP" FALSE ""
0.9 40 "LIN" 0.1 81 45 "EXP" FALSE ""
2 200 "LIN" 0.2 15 46 "LIN" FALSE ""
2 80 "EXP" 0.2 94 47 "LIN" FALSE ""
0.5 20 "EXP" 0.2 24 48 "EXP" FALSE ""
