"mu" "n" "dist" "p_cens" "rep" "id" "decision" "error" "errorMessage"
0.5 100 "LIN" 0 34 102 "LIN" FALSE ""
2.5 20 "LIN" 0.2 13 103 "EXP" FALSE ""
1.3 20 "LIN" 0 22 104 "LIN" FALSE ""
0.9 20 "LIN" 0 98 105 "LIN" FALSE ""
2.5 100 "LIN" 0 89 106 "LIN" FALSE ""
2.5 60 "EXP" 0.2 82 107 "EXP" FALSE ""
1.3 80 "LIN" 0 10 108 "LIN" FALSE ""
2.5 60 "LIN" 0 2 109 "LIN" FALSE ""
2 60 "LIN" 0 84 110 "EXP" FALSE ""
0.9 20 "EXP" 0.2 62 111 "LIN" FALSE ""
0.9 80 "LIN" 0.1 18 112 "LIN" FALSE ""
0.9 40 "EXP" 0 79 113 "EXP" FALSE ""
0.1 100 "EXP" 0 87 114 "EXP" FALSE ""
0.9 20 "LIN" 0.1 97 115 "LIN" FALSE ""
2.5 20 "LIN" 0.1 41 116 "LIN" FALSE ""
1.3 80 "LIN" 0.1 89 117 "LIN" FALSE ""
1.5 100 "LIN" 0.1 21 118 "LIN" FALSE ""
0.9 80 "LIN" 0.2 52 119 "EXP" FALSE ""
2 200 "EXP" 0.1 46 120 "EXP" FALSE ""
0.5 20 "LIN" 0 38 121 "LIN" FALSE ""
0.1 40 "LIN" 0 18 122 "LIN" FALSE ""
2 80 "LIN" 0 32 123 "LIN" FALSE ""
0.9 60 "LIN" 0 6 124 "EXP" FALSE ""
0.1 80 "EXP" 0 86 125 "EXP" FALSE ""
2.5 100 "EXP" 0.1 18 126 "LIN" FALSE ""
0.1 80 "LIN" 0 81 127 "LIN" FALSE ""
1.5 40 "EXP" 0 79 128 "LIN" FALSE ""
0.1 80 "LIN" 0.1 73 129 "LIN" FALSE ""
2.5 200 "EXP" 0 97 130 "LIN" FALSE ""
0.1 20 "LIN" 0 87 131 "LIN" FALSE ""
0.5 60 "EXP" 0.2 47 132 "EXP" FALSE ""
2.5 80 "LIN" 0.1 38 133 "EXP" FALSE ""
0.9 60 "EXP" 0.1 11 134 "EXP" FALSE ""
1.5 40 "EXP" 0.2 26 135 "LIN" FALSE ""
0.9 200 "LIN" 0 63 136 "LIN" FALSE ""
0.9 40 "EXP" 0.1 21 137 "EXP" FALSE ""
0.1 80 "EXP" 0 53 138 "EXP" FALSE ""
0.5 20 "EXP" 0.1 40 139 "LIN" FALSE ""
2 40 "EXP" 0 54 140 "LIN" FALSE ""
1.3 80 "EXP" 0 60 141 "EXP" FALSE ""
1.3 60 "LIN" 0.1 5 142 "LIN" FALSE ""
0.1 80 "EXP" 0 81 143 "EXP" FALSE ""
1.3 20 "EXP" 0.1 31 144 "EXP" FALSE ""
0.9 20 "EXP" 0 40 145 "LIN" FALSE ""
2 60 "LIN" 0.1 79 146 "EXP" FALSE ""
0.5 200 "LIN" 0.2 31 147 "LIN" FALSE ""
0.1 100 "LIN" 0.1 99 148 "LIN" FALSE ""
2.5 20 "EXP" 0.2 11 149 "LIN" FALSE ""
0.9 200 "EXP" 0 38 150 "EXP" FALSE ""
2 20 "LIN" 0.1 11 151 "LIN" FALSE ""
1.3 40 "EXP" 0 54 152 "EXP" FALSE ""
0.5 80 "EXP" 0.2 24 153 "EXP" FALSE ""
1.5 40 "LIN" 0.2 60 154 "LIN" FALSE ""
0.5 40 "EXP" 0.1 41 155 "LIN" FALSE ""
1.3 80 "EXP" 0 98 156 "EXP" FALSE ""
1.3 20 "LIN" 0 90 157 "LIN" FALSE ""
0.1 80 "LIN" 0.1 5 158 "LIN" FALSE ""
1.3 20 "EXP" 0 32 159 "EXP" FALSE ""
0.5 100 "LIN" 0.1 57 160 "LIN" FALSE ""
1.5 200 "LIN" 0.1 52 161 "LIN" FALSE ""
0.5 200 "EXP" 0.1 67 162 "EXP" FALSE ""
2.5 200 "LIN" 0 67 163 "LIN" FALSE ""
0.5 80 "EXP" 0.2 29 164 "EXP" FALSE ""
1.5 20 "EXP" 0.2 6 165 "EXP" FALSE ""
0.1 200 "EXP" 0.1 18 166 "EXP" FALSE ""
0.9 60 "LIN" 0.2 92 167 "LIN" FALSE ""
0.5 40 "EXP" 0.1 48 168 "EXP" FALSE ""
1.3 100 "LIN" 0 65 169 "LIN" FALSE ""
0.1 80 "EXP" 0 83 170 "EXP" FALSE ""
0.9 60 "EXP" 0.1 65 171 "EXP" FALSE ""
0.9 40 "EXP" 0.2 12 172 "EXP" FALSE ""
1.5 80 "EXP" 0.2 4 173 "LIN" FALSE ""
0.9 200 "EXP" 0.2 92 174 "EXP" FALSE ""
0.5 200 "EXP" 0 38 175 "EXP" FALSE ""
0.5 200 "LIN" 0.2 56 176 "LIN" FALSE ""
1.5 60 "EXP" 0 75 177 "EXP" FALSE ""
0.5 60 "EXP" 0.2 75 178 "EXP" FALSE ""
0.9 100 "LIN" 0 2 179 "EXP" FALSE ""
2.5 80 "EXP" 0.1 46 180 "EXP" FALSE ""
1.5 40 "EXP" 0 2 181 "EXP" FALSE ""
0.9 200 "EXP" 0.2 99 182 "LIN" FALSE ""
2 80 "LIN" 0.1 18 183 "LIN" FALSE ""
1.5 200 "LIN" 0 63 184 "LIN" FALSE ""
1.3 40 "EXP" 0 88 185 "EXP" FALSE ""
2 200 "LIN" 0.1 72 186 "LIN" FALSE ""
0.5 200 "LIN" 0.1 32 187 "LIN" FALSE ""
2.5 80 "LIN" 0 35 188 "EXP" FALSE ""
1.5 60 "EXP" 0 73 189 "LIN" FALSE ""
2 100 "LIN" 0 45 190 "LIN" FALSE ""
1.3 200 "LIN" 0.1 2 191 "LIN" FALSE ""
2.5 80 "LIN" 0.1 93 192 "LIN" FALSE ""
0.9 60 "LIN" 0.2 26 193 "LIN" FALSE ""
2 20 "EXP" 0.2 17 194 "EXP" FALSE ""
0.5 20 "LIN" 0 26 195 "LIN" FALSE ""
2 200 "EXP" 0.2 72 196 "EXP" FALSE ""
1.3 80 "EXP" 0.1 17 197 "EXP" FALSE ""
1.5 80 "EXP" 0.1 47 198 "EXP" FALSE ""
1.3 200 "LIN" 0.1 70 199 "LIN" FALSE ""
1.5 200 "EXP" 0.2 51 200 "LIN" FALSE ""
2 20 "LIN" 0.1 77 201 "LIN" FALSE ""
0.1 20 "EXP" 0.1 38 202 "LIN" FALSE ""
1.3 80 "EXP" 0.1 5 203 "EXP" FALSE ""
2 60 "LIN" 0.2 85 204 "LIN" FALSE ""
0.9 80 "LIN" 0.1 77 205 "LIN" FALSE ""
2.5 200 "LIN" 0 83 206 "LIN" FALSE ""
1.5 20 "EXP" 0.2 100 207 "LIN" FALSE ""
2.5 200 "EXP" 0.2 16 208 "EXP" FALSE ""
1.5 40 "EXP" 0.2 86 209 "EXP" FALSE ""
1.5 100 "LIN" 0 31 210 "LIN" FALSE ""
2 100 "EXP" 0 29 211 "LIN" FALSE ""
2.5 20 "LIN" 0.1 31 212 "LIN" FALSE ""
2.5 60 "LIN" 0 51 213 "LIN" FALSE ""
2 40 "EXP" 0 14 214 "LIN" FALSE ""
1.5 20 "EXP" 0 28 215 "LIN" FALSE ""
0.9 60 "EXP" 0.2 33 216 "EXP" FALSE ""
0.9 40 "EXP" 0.1 1 217 "EXP" FALSE ""
0.9 20 "EXP" 0.1 80 218 "EXP" FALSE ""
1.3 60 "EXP" 0.2 3 219 "EXP" FALSE ""
0.5 100 "LIN" 0 84 220 "LIN" FALSE ""
0.5 40 "EXP" 0.1 77 221 "EXP" FALSE ""
0.5 200 "LIN" 0 25 222 "LIN" FALSE ""
0.5 80 "LIN" 0.2 30 223 "LIN" FALSE ""
2 60 "EXP" 0.1 40 224 "EXP" FALSE ""
2 40 "LIN" 0 2 225 "EXP" FALSE ""
1.5 80 "LIN" 0.2 70 226 "LIN" FALSE ""
2 100 "EXP" 0.1 34 227 "EXP" FALSE ""
2 40 "EXP" 0.1 89 228 "LIN" FALSE ""
2 40 "LIN" 0 62 229 "LIN" FALSE ""
2 40 "LIN" 0.1 53 230 "EXP" FALSE ""
1.5 80 "EXP" 0 75 231 "EXP" FALSE ""
1.3 40 "LIN" 0 2 232 "EXP" FALSE ""
0.1 40 "EXP" 0.1 82 233 "EXP" FALSE ""
1.3 40 "LIN" 0 44 234 "EXP" FALSE ""
1.5 40 "LIN" 0.1 57 235 "EXP" FALSE ""
1.5 200 "EXP" 0.1 4 236 "EXP" FALSE ""
0.5 60 "EXP" 0.2 83 237 "LIN" FALSE ""
0.9 100 "EXP" 0.1 29 238 "LIN" FALSE ""
1.3 20 "EXP" 0.1 34 239 "LIN" FALSE ""
0.5 80 "LIN" 0.2 47 240 "LIN" FALSE ""
2.5 60 "EXP" 0.2 98 241 "LIN" FALSE ""
0.9 40 "LIN" 0.2 80 242 "LIN" FALSE ""
1.5 20 "LIN" 0.2 82 243 "EXP" FALSE ""
2 20 "EXP" 0.1 91 244 "LIN" FALSE ""
1.5 40 "EXP" 0 26 245 "LIN" FALSE ""
2 20 "EXP" 0.1 64 246 "LIN" FALSE ""
0.9 100 "LIN" 0 86 247 "LIN" FALSE ""
2.5 200 "LIN" 0.1 83 248 "EXP" FALSE ""
1.3 60 "EXP" 0.2 54 249 "EXP" FALSE ""
0.1 20 "LIN" 0.1 26 250 "LIN" FALSE ""
0.5 200 "LIN" 0 85 251 "LIN" FALSE ""
2 200 "LIN" 0.1 54 252 "LIN" FALSE ""
0.9 20 "EXP" 0 38 253 "EXP" FALSE ""
2.5 200 "EXP" 0.2 17 254 "LIN" FALSE ""
0.9 100 "LIN" 0.1 70 255 "LIN" FALSE ""
2.5 40 "LIN" 0.1 96 256 "LIN" FALSE ""
0.1 60 "EXP" 0.1 47 257 "EXP" FALSE ""
1.5 200 "EXP" 0.1 88 258 "EXP" FALSE ""
